category,zip code
Larceny Theft,94158
Other Miscellaneous,94102
Motor Vehicle Theft,94123
Warrant,94114
Rape,94101
Larceny Theft,94123
Larceny Theft,94102
Assault,94131
Larceny Theft,94115
Missing Person,94110
Courtesy Report,94158
Stolen Property,94102
Weapons Offense,94109
Traffic Violation Arrest,94121
Burglary,94115
Larceny Theft,94114
Malicious Mischief,94104
Other Miscellaneous,94102
Missing Person,94116
Stolen Property,94115
Larceny Theft,94127
Warrant,94108
Fraud,94109
Larceny Theft,94109
Disorderly Conduct,94115
Larceny Theft,94117
Larceny Theft,94117
Larceny Theft,94109
Robbery,94114
Larceny Theft,94108
Malicious Mischief,94101
Larceny Theft,94118
Robbery,94101
Larceny Theft,94104
Larceny Theft,94133
Drug Offense,94102
Suspicious Occ,Not in San Francisco
Recovered Vehicle,94124
Offences Against The Family And Children,94104
Other Miscellaneous,94115
Larceny Theft,94133
Larceny Theft,94102
Robbery,94112
Missing Person,94123
Other Offenses,94141
Fraud,94108
Drug Offense,94121
Assault,94107
Weapons Carrying Etc,94115
Larceny Theft,94134
Malicious Mischief,94130
Larceny Theft,94104
Larceny Theft,94133
Larceny Theft,94118
Larceny Theft,94104
Motor Vehicle Theft,94102
Assault,Not in San Francisco
Non-Criminal,94108
Non-Criminal,94102
Assault,94102
Forgery And Counterfeiting,94101
Robbery,94141
Fraud,Not in San Francisco
Larceny Theft,94108
Other Miscellaneous,94118
Motor Vehicle Theft,94124
Warrant,94102
Disorderly Conduct,94102
Larceny Theft,94118
Larceny Theft,94124
Larceny Theft,94108
Lost Property,94101
Larceny Theft,94109
Larceny Theft,94133
Other Miscellaneous,94143
Fraud,94115
Suspicious Occ,94141
Assault,94141
Courtesy Report,94158
Offences Against The Family And Children,94102
Other,94101
Larceny Theft,94141
Warrant,94108
Other Miscellaneous,94133
Non-Criminal,94105
Missing Person,94101
Other,94133
Warrant,94102
Suspicious Occ,94104
Other Miscellaneous,94108
Non-Criminal,94111
Larceny Theft,94115
Weapons Carrying Etc,94102
Malicious Mischief,94108
Malicious Mischief,94124
Larceny Theft,94115
Larceny Theft,94101
Miscellaneous Investigation,94115
Motor Vehicle Theft,94108
Malicious Mischief,94102
Burglary,94109
Non-Criminal,94134
Recovered Vehicle,94101
Larceny Theft,94101
Forgery And Counterfeiting,94108
Larceny Theft,94101
Recovered Vehicle,94116
Larceny Theft,94111
Larceny Theft,94104
Warrant,94108
Non-Criminal,94109
Fraud,94109
Drug Offense,94102
Fraud,94115
Larceny Theft,94132
Traffic Violation Arrest,94141
Motor Vehicle Theft,94143
Larceny Theft,94105
Larceny Theft,94109
Vehicle Misplaced,94122
Assault,Not in San Francisco
Suspicious Occ,94129
Larceny Theft,94188
Other Miscellaneous,94188
Larceny Theft,94141
Larceny Theft,94158
Larceny Theft,94115
Malicious Mischief,94101
Robbery,94110
Other Miscellaneous,94102
Warrant,94102
Fraud,94115
Larceny Theft,94115
Motor Vehicle Theft,94114
Traffic Violation Arrest,94102
Fraud,94123
Non-Criminal,94101
Larceny Theft,94116
Assault,94122
Non-Criminal,94109
Larceny Theft,94109
Larceny Theft,94143
Burglary,94104
Larceny Theft,94133
Larceny Theft,94122
Burglary,94111
Warrant,94102
Burglary,94108
Assault,94115
Larceny Theft,94101
Suspicious Occ,94109
Offences Against The Family And Children,94101
Larceny Theft,94115
Other Miscellaneous,94104
Traffic Violation Arrest,94133
Larceny Theft,94141
