category,zip code
Larceny Theft,94124
Traffic Violation Arrest,94124
Malicious Mischief,94123
Drug Offense,94102
Malicious Mischief,94117
Weapons Offense,94110
Larceny Theft,94109
Motor Vehicle Theft,94102
Malicious Mischief,94112
Miscellaneous Investigation,Not in San Francisco
Larceny Theft,94108
Larceny Theft,94123
Traffic Collision,94122
Other Offenses,94101
Disorderly Conduct,94112
Motor Vehicle Theft,94188
Burglary,94101
Motor Vehicle Theft,94108
Motor Vehicle Theft,94115
Recovered Vehicle,94188
Larceny Theft,94134
Burglary,94101
Missing Person,94117
Malicious Mischief,94102
Prostitution,94141
Burglary,94115
Non-Criminal,94115
Larceny Theft,94108
Larceny Theft,94143
Lost Property,94141
Burglary,94123
Other Miscellaneous,94108
Suspicious Occ,94108
Larceny Theft,94123
Weapons Offense,94109
Larceny Theft,94107
Suspicious Occ,94133
Malicious Mischief,94101
Case Closure,94102
Larceny Theft,94105
Larceny Theft,94104
Disorderly Conduct,94110
Assault,94108
Assault,94102
Lost Property,94115
Drug Offense,94109
Larceny Theft,94109
Motor Vehicle Theft,94101
Missing Person,94112
Larceny Theft,94133
Larceny Theft,94112
Larceny Theft,94131
Larceny Theft,94133
Drug Offense,94102
Lost Property,94107
Other Miscellaneous,94102
Larceny Theft,94108
Larceny Theft,94107
Non-Criminal,94104
Assault,94102
Drug Offense,94101
Malicious Mischief,94102
Motor Vehicle Theft,94141
Larceny Theft,94116
Non-Criminal,94101
Larceny Theft,94141
Other Miscellaneous,94123
Malicious Mischief,94102
Malicious Mischief,94108
Malicious Mischief,94108
Disorderly Conduct,94102
Larceny Theft,94104
Offences Against The Family And Children,94115
Larceny Theft,Not in San Francisco
Malicious Mischief,94158
Fraud,94102
Larceny Theft,94118
Other Miscellaneous,94115
Miscellaneous Investigation,94124
Non-Criminal,94115
Fraud,94143
Larceny Theft,94141
Motor Vehicle Theft,94108
Other Miscellaneous,94134
Assault,94101
Non-Criminal,94115
Larceny Theft,94101
Non-Criminal,94132
Larceny Theft,94121
Burglary,94101
Larceny Theft,94133
Traffic Violation Arrest,94102
Assault,94101
Burglary,94132
Larceny Theft,94107
Disorderly Conduct,94114
Larceny Theft,94116
Malicious Mischief,94109
Suspicious Occ,94102
Missing Person,94105
Other Miscellaneous,94123
Assault,94102
Assault,94117
Other Miscellaneous,94115
Malicious Mischief,94104
Other Miscellaneous,94114
Larceny Theft,94141
Larceny Theft,94110
Larceny Theft,94110
Burglary,94102
Larceny Theft,94141
Motor Vehicle Theft,94110
Larceny Theft,94134
Motor Vehicle Theft,94117
Drug Offense,94102
Assault,94108
Larceny Theft,94101
Weapons Offense,94110
Other Miscellaneous,Not in San Francisco
Larceny Theft,94101
Motor Vehicle Theft,94107
Larceny Theft,94115
Other Miscellaneous,94141
Larceny Theft,94123
Larceny Theft,94104
Motor Vehicle Theft,94110
Non-Criminal,94110
Larceny Theft,94123
Motor Vehicle Theft,94141
Larceny Theft,94109
Assault,94108
Assault,94133
Assault,94108
Lost Property,94115
Larceny Theft,94108
Motor Vehicle Theft,94102
Malicious Mischief,94117
Other Miscellaneous,94109
Larceny Theft,94108
Other Miscellaneous,94101
Suspicious Occ,94188
Malicious Mischief,94133
Non-Criminal,94104
Fraud,94104
Larceny Theft,94122
Other Miscellaneous,94102
Other Miscellaneous,94108
Offences Against The Family And Children,94115
Assault,94123
Other Miscellaneous,94102
Missing Person,94122
Lost Property,94104
Motor Vehicle Theft,94108
Larceny Theft,94118
Larceny Theft,94141
Motor Vehicle Theft,94102
Recovered Vehicle,94133
Larceny Theft,94132
Larceny Theft,94133
Burglary,94158
Larceny Theft,94123
