category,zip code
OTHER OFFENSES,94134
OTHER OFFENSES,94124
SUSPICIOUS OCC,94121
DRUG/NARCOTIC,94117
SUSPICIOUS OCC,94108
ASSAULT,94102
SUSPICIOUS OCC,94133
NON-CRIMINAL,94104
LARCENY/THEFT,94108
ASSAULT,94107
OTHER OFFENSES,94107
LARCENY/THEFT,94141
OTHER OFFENSES,94118
WARRANTS,Not in San Francisco
VANDALISM,94101
NON-CRIMINAL,94108
OTHER OFFENSES,94118
OTHER OFFENSES,94108
OTHER OFFENSES,94108
FRAUD,94141
OTHER OFFENSES,94115
OTHER OFFENSES,94101
OTHER OFFENSES,94102
STOLEN PROPERTY,94108
BURGLARY,94134
VANDALISM,94101
OTHER OFFENSES,94124
OTHER OFFENSES,94141
VEHICLE THEFT,94102
NON-CRIMINAL,94107
OTHER OFFENSES,94141
OTHER OFFENSES,94108
DRUNKENNESS,94104
ROBBERY,94104
NON-CRIMINAL,94108
LARCENY/THEFT,94102
NON-CRIMINAL,94101
"SEX OFFENSES, FORCIBLE",94104
SECONDARY CODES,94114
NON-CRIMINAL,94124
SECONDARY CODES,94131
OTHER OFFENSES,94123
NON-CRIMINAL,94102
DRUG/NARCOTIC,94108
ASSAULT,94141
FRAUD,94102
DRUG/NARCOTIC,94108
NON-CRIMINAL,94104
DRUNKENNESS,94143
EMBEZZLEMENT,94141
SUSPICIOUS OCC,94114
NON-CRIMINAL,94141
"SEX OFFENSES, FORCIBLE",94133
ROBBERY,94104
BURGLARY,94134
OTHER OFFENSES,94117
NON-CRIMINAL,94115
OTHER OFFENSES,94111
OTHER OFFENSES,94134
FRAUD,94131
DRUNKENNESS,94118
LARCENY/THEFT,94105
ASSAULT,94108
NON-CRIMINAL,94143
OTHER OFFENSES,94141
NON-CRIMINAL,94133
NON-CRIMINAL,94108
OTHER OFFENSES,94108
ROBBERY,94108
SUSPICIOUS OCC,94107
ASSAULT,94108
SECONDARY CODES,94141
OTHER OFFENSES,94124
SUSPICIOUS OCC,94108
ASSAULT,94104
NON-CRIMINAL,94101
OTHER OFFENSES,94124
SUSPICIOUS OCC,94102
