category,zip code
ASSAULT,94109
NON-CRIMINAL,94133
NON-CRIMINAL,Not in San Francisco
WARRANTS,94133
TRESPASS,94123
LARCENY/THEFT,94124
LARCENY/THEFT,94109
SUSPICIOUS OCC,94110
LARCENY/THEFT,94104
OTHER OFFENSES,94141
ASSAULT,94108
NON-CRIMINAL,94123
TRESPASS,94104
LARCENY/THEFT,94109
OTHER OFFENSES,94141
OTHER OFFENSES,94108
ASSAULT,94104
NON-CRIMINAL,94121
OTHER OFFENSES,94133
LARCENY/THEFT,94107
ASSAULT,94112
NON-CRIMINAL,94117
DRIVING UNDER THE INFLUENCE,94114
LARCENY/THEFT,94109
NON-CRIMINAL,94108
FRAUD,Not in San Francisco
LARCENY/THEFT,94104
ASSAULT,Not in San Francisco
NON-CRIMINAL,94114
VANDALISM,Not in San Francisco
DRUNKENNESS,94101
ASSAULT,94108
NON-CRIMINAL,94115
VANDALISM,94107
LARCENY/THEFT,94133
ASSAULT,94111
NON-CRIMINAL,94104
LARCENY/THEFT,94133
BURGLARY,94141
LARCENY/THEFT,94131
ASSAULT,94134
LARCENY/THEFT,94115
NON-CRIMINAL,94112
ASSAULT,94109
DRUNKENNESS,94101
VANDALISM,94133
OTHER OFFENSES,Not in San Francisco
NON-CRIMINAL,94101
MISSING PERSON,94101
LARCENY/THEFT,94115
OTHER OFFENSES,94114
OTHER OFFENSES,94102
NON-CRIMINAL,94143
LARCENY/THEFT,94123
VEHICLE THEFT,94115
LARCENY/THEFT,94133
LARCENY/THEFT,94124
LARCENY/THEFT,94118
NON-CRIMINAL,94124
LARCENY/THEFT,94104
WEAPON LAWS,94141
VANDALISM,94143
ASSAULT,94101
LARCENY/THEFT,94109
ASSAULT,94127
VANDALISM,94127
NON-CRIMINAL,94111
LARCENY/THEFT,94105
LARCENY/THEFT,94118
VEHICLE THEFT,94124
WARRANTS,94108
LARCENY/THEFT,94158
LARCENY/THEFT,94101
NON-CRIMINAL,94114
OTHER OFFENSES,94112
BURGLARY,94115
VEHICLE THEFT,94108
OTHER OFFENSES,94124
ASSAULT,94102
OTHER OFFENSES,94101
SUSPICIOUS OCC,94114
OTHER OFFENSES,94101
NON-CRIMINAL,Not in San Francisco
OTHER OFFENSES,94114
LARCENY/THEFT,94102
OTHER OFFENSES,94134
FRAUD,94108
LARCENY/THEFT,94102
OTHER OFFENSES,94110
ASSAULT,94134
SUSPICIOUS OCC,94141
LARCENY/THEFT,94101
ASSAULT,94188
VEHICLE THEFT,94101
ASSAULT,94123
LARCENY/THEFT,94109
DRUG/NARCOTIC,94102
VANDALISM,94123
TRESPASS,94109
LARCENY/THEFT,94108
ASSAULT,94134
ASSAULT,94114
LARCENY/THEFT,94109
NON-CRIMINAL,94102
LARCENY/THEFT,94134
OTHER OFFENSES,94104
ASSAULT,94133
VEHICLE THEFT,94110
BURGLARY,94123
DRUG/NARCOTIC,94130
ROBBERY,94108
ASSAULT,94133
SUSPICIOUS OCC,Not in San Francisco
NON-CRIMINAL,94121
LARCENY/THEFT,94104
NON-CRIMINAL,94141
FRAUD,94121
FRAUD,94117
NON-CRIMINAL,94104
NON-CRIMINAL,94108
WARRANTS,94124
NON-CRIMINAL,94108
SUSPICIOUS OCC,94108
WARRANTS,94104
