category,zip code
Warrant,94107
Suspicious Occ,94133
Drug Offense,94127
Burglary,94109
Traffic Violation Arrest,94101
Larceny Theft,94124
Other Offenses,94109
Lost Property,94108
Assault,94115
Warrant,94108
Burglary,94112
Assault,94102
Non-Criminal,94133
Larceny Theft,94115
Larceny Theft,94134
Assault,94104
Larceny Theft,Not in San Francisco
Motor Vehicle Theft,94117
Larceny Theft,94102
Burglary,94108
Larceny Theft,94109
Non-Criminal,94108
Burglary,94124
Fraud,94114
Drug Offense,94104
Assault,94108
Stolen Property,94109
Other Miscellaneous,94123
Larceny Theft,94104
Larceny Theft,94101
Warrant,Not in San Francisco
Lost Property,94102
Other Miscellaneous,94134
Suspicious Occ,94112
Non-Criminal,94104
Larceny Theft,94115
Missing Person,94108
Fraud,94114
Assault,94108
Missing Person,94134
Robbery,94108
Larceny Theft,94124
Malicious Mischief,94110
Suspicious Occ,94114
Suspicious Occ,94121
Disorderly Conduct,94133
Case Closure,94104
Motor Vehicle Theft?,94102
Larceny Theft,94102
Non-Criminal,94117
Malicious Mischief,94108
Lost Property,94105
Other Miscellaneous,94108
Fraud,94141
Stolen Property,94133
Fraud,94108
Offences Against The Family And Children,94101
Recovered Vehicle,Not in San Francisco
Recovered Vehicle,94130
Drug Offense,94102
Larceny Theft,94108
Larceny Theft,94114
Assault,94109
Warrant,94101
Larceny Theft,94143
Fraud,94116
Assault,94101
Other Miscellaneous,94110
Larceny Theft,94111
Larceny Theft,94101
Larceny Theft,Not in San Francisco
Motor Vehicle Theft,Not in San Francisco
Larceny Theft,94104
Warrant,94115
Miscellaneous Investigation,94115
Missing Person,94141
Arson,94108
Larceny Theft,94102
Larceny Theft,Not in San Francisco
Larceny Theft,94110
Offences Against The Family And Children,94109
Weapons Carrying Etc,94141
Missing Person,94115
Missing Person,94117
Larceny Theft,Not in San Francisco
Larceny Theft,94141
Non-Criminal,94102
Robbery,94141
Robbery,94101
Suspicious Occ,94111
Larceny Theft,94109
Lost Property,94102
Courtesy Report,94134
Vehicle Impounded,94112
Non-Criminal,94105
Larceny Theft,94110
Recovered Vehicle,94104
Suspicious Occ,94110
Offences Against The Family And Children,94108
Burglary,94101
Other Miscellaneous,Not in San Francisco
Other,94108
Fraud,94132
Larceny Theft,94102
Larceny Theft,94108
Disorderly Conduct,94115
Miscellaneous Investigation,94141
Assault,94101
Larceny Theft,94108
Malicious Mischief,94111
Other Miscellaneous,94102
Assault,94158
Robbery,94101
Warrant,94108
Drug Offense,94102
Larceny Theft,94123
Disorderly Conduct,94141
Other Miscellaneous,94141
Non-Criminal,94110
Fraud,94109
Non-Criminal,94102
Motor Vehicle Theft,Not in San Francisco
Lost Property,94115
Non-Criminal,94116
Larceny Theft,94117
Larceny Theft,94141
Lost Property,94123
Non-Criminal,94112
Civil Sidewalks,94117
Larceny Theft,94101
Non-Criminal,94108
Larceny Theft,94108
Larceny Theft,94131
Case Closure,94109
Non-Criminal,94141
Vandalism,94123
Larceny Theft,94123
Non-Criminal,94104
Larceny Theft,94133
Non-Criminal,94101
Larceny Theft,94134
Drug Offense,94101
Suspicious Occ,94107
Assault,94114
Lost Property,94158
Non-Criminal,94115
Drug Offense,94102
Larceny Theft,94109
Larceny Theft,94109
Other Miscellaneous,94102
Larceny Theft,94123
Fraud,94133
Miscellaneous Investigation,94101
Assault,94123
Suspicious Occ,94130
Burglary,94124
Drug Offense,94141
Other Miscellaneous,94108
Larceny Theft,94102
Larceny Theft,94123
Larceny Theft,94123
Assault,94102
Recovered Vehicle,Not in San Francisco
Larceny Theft,94110
Larceny Theft,94141
Lost Property,94115
Larceny Theft,94133
Other Miscellaneous,94124
Other Miscellaneous,94111
Missing Person,94116
Malicious Mischief,94104
Other Miscellaneous,94104
Larceny Theft,94115
Larceny Theft,94108
Traffic Violation Arrest,94110
Larceny Theft,94133
Larceny Theft,94108
Larceny Theft,94122
Other Offenses,94102
Miscellaneous Investigation,94117
Malicious Mischief,94101
Suspicious Occ,Not in San Francisco
Non-Criminal,94101
Offences Against The Family And Children,94115
Other Miscellaneous,94123
Burglary,94108
Warrant,94102
Missing Person,94115
Malicious Mischief,94102
Burglary,94102
Drug Offense,94101
Larceny Theft,94102
Larceny Theft,94108
Non-Criminal,94115
Missing Person,94158
Warrant,94108
Larceny Theft,94123
Assault,94108
Offences Against The Family And Children,94108
Non-Criminal,94101
Non-Criminal,94112
Malicious Mischief,94141
Malicious Mischief,94133
Fraud,94104
Malicious Mischief,94112
Malicious Mischief,94102
Larceny Theft,94124
Lost Property,94133
Non-Criminal,Not in San Francisco
Missing Person,94134
Fraud,94108
Other Miscellaneous,94115
Motor Vehicle Theft,Not in San Francisco
Larceny Theft,94114
Non-Criminal,94141
Other Offenses,94108
Warrant,94101
Assault,94108
Missing Person,94141
Other Miscellaneous,94101
Motor Vehicle Theft,94112
Other Miscellaneous,94116
Malicious Mischief,94143
Motor Vehicle Theft,94133
Fraud,94141
Larceny Theft,94108
Lost Property,94102
Missing Person,94108
Larceny Theft,94107
Larceny Theft,94131
Malicious Mischief,94104
Larceny Theft,94108
Assault,94104
Traffic Violation Arrest,94141
Assault,94124
Miscellaneous Investigation,94112
Other Miscellaneous,94124
Missing Person,94116
Robbery,94102
Larceny Theft,94115
Larceny Theft,94114
Non-Criminal,94131
Traffic Collision,94134
Larceny Theft,94114
Other Miscellaneous,94102
Weapons Offense,94115
Traffic Violation Arrest,94107
Malicious Mischief,94114
Malicious Mischief,94134
Larceny Theft,94123
Larceny Theft,94104
Assault,94104
Larceny Theft,94141
Larceny Theft,Not in San Francisco
Warrant,94133
Motor Vehicle Theft,94141
Motor Vehicle Theft,94108
Offences Against The Family And Children,94102
Assault,94143
Robbery,94108
Non-Criminal,94123
Missing Person,94101
Drug Offense,94102
Fraud,94127
Non-Criminal,94114
Other Miscellaneous,94112
Larceny Theft,94108
Larceny Theft,94121
Larceny Theft,94108
Larceny Theft,94133
Lost Property,94123
Malicious Mischief,94108
Larceny Theft,94101
Other,94114
