category,zip code
LARCENY/THEFT,94102
OTHER OFFENSES,94104
NON-CRIMINAL,94102
LARCENY/THEFT,Not in San Francisco
ASSAULT,94108
LARCENY/THEFT,94108
ROBBERY,94108
LARCENY/THEFT,94105
ASSAULT,94115
VEHICLE THEFT,94141
LARCENY/THEFT,94114
WARRANTS,94124
LARCENY/THEFT,94102
LARCENY/THEFT,94124
ASSAULT,94124
OTHER OFFENSES,94124
ASSAULT,94108
ASSAULT,94134
LARCENY/THEFT,94117
"SEX OFFENSES, FORCIBLE",94114
NON-CRIMINAL,94158
NON-CRIMINAL,Not in San Francisco
LARCENY/THEFT,Not in San Francisco
SUSPICIOUS OCC,94123
LARCENY/THEFT,94123
NON-CRIMINAL,94108
VANDALISM,94108
NON-CRIMINAL,94123
LARCENY/THEFT,Not in San Francisco
BURGLARY,94102
OTHER OFFENSES,94102
ASSAULT,94141
NON-CRIMINAL,94101
MISSING PERSON,94117
NON-CRIMINAL,94114
NON-CRIMINAL,94108
LARCENY/THEFT,94109
NON-CRIMINAL,94115
OTHER OFFENSES,94101
ASSAULT,94115
LARCENY/THEFT,94123
OTHER OFFENSES,94131
OTHER OFFENSES,94110
OTHER OFFENSES,94115
SECONDARY CODES,94105
LARCENY/THEFT,94123
SUSPICIOUS OCC,94132
OTHER OFFENSES,94102
ASSAULT,94101
SECONDARY CODES,94158
FRAUD,94158
NON-CRIMINAL,94112
LARCENY/THEFT,Not in San Francisco
VANDALISM,94110
ASSAULT,94108
OTHER OFFENSES,94115
LARCENY/THEFT,94117
SECONDARY CODES,94158
SUSPICIOUS OCC,94101
ASSAULT,94101
ASSAULT,94115
NON-CRIMINAL,Not in San Francisco
LARCENY/THEFT,Not in San Francisco
OTHER OFFENSES,94108
NON-CRIMINAL,94101
ASSAULT,94108
ASSAULT,94134
NON-CRIMINAL,94108
OTHER OFFENSES,94124
OTHER OFFENSES,94108
LARCENY/THEFT,94101
ROBBERY,94108
OTHER OFFENSES,Not in San Francisco
OTHER OFFENSES,94114
ASSAULT,94118
LARCENY/THEFT,94115
NON-CRIMINAL,94102
OTHER OFFENSES,94117
SUSPICIOUS OCC,94101
NON-CRIMINAL,94102
OTHER OFFENSES,94104
LARCENY/THEFT,94108
LARCENY/THEFT,94108
NON-CRIMINAL,94104
LARCENY/THEFT,94104
NON-CRIMINAL,94109
LARCENY/THEFT,94108
NON-CRIMINAL,94114
NON-CRIMINAL,94158
LARCENY/THEFT,94108
"SEX OFFENSES, FORCIBLE",94188
LARCENY/THEFT,94109
OTHER OFFENSES,94141
TRESPASS,94102
NON-CRIMINAL,94108
ASSAULT,94115
LARCENY/THEFT,94118
LARCENY/THEFT,94134
OTHER OFFENSES,94110
LARCENY/THEFT,94101
VANDALISM,94108
LARCENY/THEFT,94115
LARCENY/THEFT,94141
LARCENY/THEFT,94102
ASSAULT,94141
"SEX OFFENSES, FORCIBLE",94114
LARCENY/THEFT,94114
DRUNKENNESS,94104
ASSAULT,94108
NON-CRIMINAL,94114
NON-CRIMINAL,94108
OTHER OFFENSES,94115
NON-CRIMINAL,94141
MISSING PERSON,94114
SUSPICIOUS OCC,94108
SUSPICIOUS OCC,94108
NON-CRIMINAL,94114
VANDALISM,94134
SUSPICIOUS OCC,94101
VANDALISM,Not in San Francisco
"SEX OFFENSES, FORCIBLE",94114
SECONDARY CODES,94115
OTHER OFFENSES,94115
ASSAULT,94109
LARCENY/THEFT,94124
NON-CRIMINAL,94109
OTHER OFFENSES,94101
NON-CRIMINAL,94141
MISSING PERSON,Not in San Francisco
LARCENY/THEFT,94102
MISSING PERSON,94108
ASSAULT,94101
LARCENY/THEFT,94134
LARCENY/THEFT,94102
NON-CRIMINAL,94104
BURGLARY,Not in San Francisco
LARCENY/THEFT,94133
LARCENY/THEFT,94115
FRAUD,94109
LARCENY/THEFT,94101
ASSAULT,94108
OTHER OFFENSES,94102
TRESPASS,94123
ROBBERY,94110
SUSPICIOUS OCC,94131
SUSPICIOUS OCC,94123
NON-CRIMINAL,94114
LARCENY/THEFT,94124
LARCENY/THEFT,94104
BURGLARY,94141
LARCENY/THEFT,94114
OTHER OFFENSES,94108
BURGLARY,Not in San Francisco
LARCENY/THEFT,94104
OTHER OFFENSES,94141
DRUNKENNESS,94123
LARCENY/THEFT,94109
LARCENY/THEFT,94104
NON-CRIMINAL,94143
SUSPICIOUS OCC,94117
VEHICLE THEFT,94108
OTHER OFFENSES,94101
EMBEZZLEMENT,94158
LARCENY/THEFT,94104
ASSAULT,Not in San Francisco
NON-CRIMINAL,94114
VANDALISM,94104
NON-CRIMINAL,94118
WARRANTS,94102
NON-CRIMINAL,94108
NON-CRIMINAL,94102
SUSPICIOUS OCC,94104
OTHER OFFENSES,94104
LARCENY/THEFT,94115
LARCENY/THEFT,94108
"SEX OFFENSES, FORCIBLE",94112
ASSAULT,94133
TRESPASS,94117
VANDALISM,94134
WARRANTS,94102
LARCENY/THEFT,94102
OTHER OFFENSES,94158
LARCENY/THEFT,94141
VANDALISM,94101
NON-CRIMINAL,94114
OTHER OFFENSES,94141
SUSPICIOUS OCC,94110
OTHER OFFENSES,94101
NON-CRIMINAL,94102
NON-CRIMINAL,94101
ASSAULT,94108
"SEX OFFENSES, FORCIBLE",94108
SUSPICIOUS OCC,94102
LARCENY/THEFT,94118
VEHICLE THEFT,94110
ASSAULT,94101
NON-CRIMINAL,94116
ASSAULT,94143
LARCENY/THEFT,94115
BURGLARY,94115
LARCENY/THEFT,94114
MISSING PERSON,94117
VANDALISM,94188
OTHER OFFENSES,94112
FRAUD,94108
OTHER OFFENSES,94101
LARCENY/THEFT,94114
LARCENY/THEFT,94115
LARCENY/THEFT,94123
NON-CRIMINAL,94116
OTHER OFFENSES,Not in San Francisco
ASSAULT,94118
NON-CRIMINAL,94123
OTHER OFFENSES,94117
FRAUD,94101
ASSAULT,94101
SUSPICIOUS OCC,94123
NON-CRIMINAL,94114
MISSING PERSON,94115
ROBBERY,94109
"SEX OFFENSES, FORCIBLE",94114
OTHER OFFENSES,94107
OTHER OFFENSES,Not in San Francisco
MISSING PERSON,94115
LARCENY/THEFT,94104
FRAUD,Not in San Francisco
ASSAULT,94115
LARCENY/THEFT,94141
MISSING PERSON,94114
OTHER OFFENSES,94112
OTHER OFFENSES,94112
VANDALISM,94108
LARCENY/THEFT,94122
MISSING PERSON,94108
NON-CRIMINAL,94134
ASSAULT,94102
LARCENY/THEFT,94105
ASSAULT,Not in San Francisco
OTHER OFFENSES,94102
VANDALISM,94123
NON-CRIMINAL,94101
WARRANTS,94108
VANDALISM,94110
EMBEZZLEMENT,94104
ASSAULT,94143
WEAPON LAWS,94124
ASSAULT,94131
LARCENY/THEFT,94114
OTHER OFFENSES,94131
"SEX OFFENSES, FORCIBLE",94112
DRUG/NARCOTIC,94102
NON-CRIMINAL,94123
LARCENY/THEFT,94123
NON-CRIMINAL,94124
VEHICLE THEFT,94141
LARCENY/THEFT,94108
VEHICLE THEFT,94112
OTHER OFFENSES,94158
OTHER OFFENSES,94158
OTHER OFFENSES,94117
NON-CRIMINAL,94110
BURGLARY,94134
LARCENY/THEFT,94101
LARCENY/THEFT,94108
"SEX OFFENSES, FORCIBLE",94112
LARCENY/THEFT,94133
ASSAULT,94101
LARCENY/THEFT,Not in San Francisco
ASSAULT,Not in San Francisco
SUSPICIOUS OCC,94104
VANDALISM,94110
OTHER OFFENSES,94117
WARRANTS,94102
VANDALISM,94108
"SEX OFFENSES, FORCIBLE",94114
LARCENY/THEFT,94141
OTHER OFFENSES,94102
SUSPICIOUS OCC,94188
LARCENY/THEFT,94102
LARCENY/THEFT,94104
SECONDARY CODES,94108
LARCENY/THEFT,Not in San Francisco
BURGLARY,94141
ASSAULT,94141
OTHER OFFENSES,Not in San Francisco
WARRANTS,94124
BURGLARY,94134
TRESPASS,94123
NON-CRIMINAL,94117
LARCENY/THEFT,94102
ASSAULT,94141
OTHER OFFENSES,Not in San Francisco
NON-CRIMINAL,94112
ASSAULT,Not in San Francisco
LARCENY/THEFT,94115
NON-CRIMINAL,94114
NON-CRIMINAL,94108
BURGLARY,94112
FRAUD,94109
ASSAULT,94108
LARCENY/THEFT,94102
VEHICLE THEFT,94110
SUSPICIOUS OCC,94143
BURGLARY,94114
WARRANTS,94108
OTHER OFFENSES,94110
OTHER OFFENSES,Not in San Francisco
ASSAULT,94123
EMBEZZLEMENT,94108
OTHER OFFENSES,94112
VANDALISM,94104
VEHICLE THEFT,94112
"SEX OFFENSES, FORCIBLE",94134
VANDALISM,94105
TRESPASS,94141
LARCENY/THEFT,94101
MISSING PERSON,94117
OTHER OFFENSES,94112
NON-CRIMINAL,94108
MISSING PERSON,94114
NON-CRIMINAL,Not in San Francisco
ASSAULT,94124
BURGLARY,Not in San Francisco
FRAUD,94158
VANDALISM,94133
LARCENY/THEFT,94115
ASSAULT,94110
LARCENY/THEFT,94123
NON-CRIMINAL,94101
LARCENY/THEFT,94109
LARCENY/THEFT,94104
DRUNKENNESS,94117
NON-CRIMINAL,94108
LARCENY/THEFT,94141
NON-CRIMINAL,94101
NON-CRIMINAL,94109
NON-CRIMINAL,94102
LARCENY/THEFT,94114
SUSPICIOUS OCC,94143
TRESPASS,94123
ASSAULT,94188
ROBBERY,94108
LARCENY/THEFT,Not in San Francisco
SUSPICIOUS OCC,94117
VEHICLE THEFT,94133
EMBEZZLEMENT,94108
"SEX OFFENSES, FORCIBLE",94114
FRAUD,94134
FRAUD,Not in San Francisco
LARCENY/THEFT,94102
LARCENY/THEFT,94118
OTHER OFFENSES,94102
OTHER OFFENSES,94141
LARCENY/THEFT,94123
NON-CRIMINAL,94117
SUSPICIOUS OCC,94123
VANDALISM,94123
OTHER OFFENSES,94104
LARCENY/THEFT,94108
VANDALISM,94105
OTHER OFFENSES,94112
ASSAULT,94143
BURGLARY,94141
OTHER OFFENSES,94112
LARCENY/THEFT,94105
VANDALISM,94101
VEHICLE THEFT,94133
NON-CRIMINAL,94134
LARCENY/THEFT,94102
LARCENY/THEFT,94123
ASSAULT,94101
VEHICLE THEFT,94133
VANDALISM,94112
NON-CRIMINAL,94118
NON-CRIMINAL,94114
ROBBERY,94143
ROBBERY,94110
LARCENY/THEFT,94123
BURGLARY,94114
LARCENY/THEFT,94105
NON-CRIMINAL,94101
LARCENY/THEFT,94108
LARCENY/THEFT,94115
LARCENY/THEFT,94108
OTHER OFFENSES,94110
DRUG/NARCOTIC,94102
LARCENY/THEFT,94141
NON-CRIMINAL,94101
LARCENY/THEFT,94112
"SEX OFFENSES, FORCIBLE",94118
LARCENY/THEFT,94141
"SEX OFFENSES, FORCIBLE",94108
LARCENY/THEFT,Not in San Francisco
SUSPICIOUS OCC,94141
OTHER OFFENSES,Not in San Francisco
NON-CRIMINAL,94118
LARCENY/THEFT,94141
FRAUD,94114
MISSING PERSON,94110
NON-CRIMINAL,94110
LARCENY/THEFT,94123
ROBBERY,94101
LARCENY/THEFT,94141
LARCENY/THEFT,94115
BURGLARY,94114
LARCENY/THEFT,94108
WARRANTS,94104
LARCENY/THEFT,94141
LARCENY/THEFT,Not in San Francisco
OTHER OFFENSES,94108
LARCENY/THEFT,94123
WARRANTS,94141
FRAUD,Not in San Francisco
BURGLARY,94141
LARCENY/THEFT,94117
SUSPICIOUS OCC,94104
ASSAULT,94131
OTHER OFFENSES,94127
ASSAULT,94122
LARCENY/THEFT,94121
BURGLARY,94101
VANDALISM,94112
ASSAULT,94143
LARCENY/THEFT,94133
SECONDARY CODES,94108
"SEX OFFENSES, FORCIBLE",94134
"SEX OFFENSES, FORCIBLE",94188
LARCENY/THEFT,94101
NON-CRIMINAL,94114
OTHER OFFENSES,94158
VANDALISM,94108
LARCENY/THEFT,94115
NON-CRIMINAL,Not in San Francisco
LARCENY/THEFT,Not in San Francisco
LARCENY/THEFT,94101
SECONDARY CODES,94108
NON-CRIMINAL,94104
LARCENY/THEFT,94101
LARCENY/THEFT,94114
ROBBERY,94141
LARCENY/THEFT,94108
"SEX OFFENSES, FORCIBLE",94112
SUSPICIOUS OCC,94123
MISSING PERSON,94158
SUSPICIOUS OCC,94141
ASSAULT,94110
LARCENY/THEFT,94108
WARRANTS,94102
BURGLARY,Not in San Francisco
OTHER OFFENSES,94112
OTHER OFFENSES,94127
BURGLARY,Not in San Francisco
NON-CRIMINAL,94101
ASSAULT,94118
ASSAULT,94122
LIQUOR LAWS,94117
OTHER OFFENSES,94102
LARCENY/THEFT,94104
WARRANTS,94102
VANDALISM,94133
DRUNKENNESS,94104
VANDALISM,94108
BURGLARY,94141
ASSAULT,Not in San Francisco
LARCENY/THEFT,94112
SUSPICIOUS OCC,94112
SUSPICIOUS OCC,94101
LARCENY/THEFT,94108
"SEX OFFENSES, FORCIBLE",94112
SECONDARY CODES,94115
BURGLARY,Not in San Francisco
MISSING PERSON,94122
MISSING PERSON,94117
LARCENY/THEFT,94102
VANDALISM,94101
ASSAULT,94101
NON-CRIMINAL,94123
LARCENY/THEFT,94104
LARCENY/THEFT,94109
LARCENY/THEFT,94114
OTHER OFFENSES,Not in San Francisco
LARCENY/THEFT,94102
OTHER OFFENSES,94112
NON-CRIMINAL,94114
OTHER OFFENSES,94110
MISSING PERSON,94114
DRUNKENNESS,94123
ROBBERY,94101
LARCENY/THEFT,94102
LARCENY/THEFT,94104
OTHER OFFENSES,94108
LARCENY/THEFT,94109
"SEX OFFENSES, FORCIBLE",94118
MISSING PERSON,94118
LARCENY/THEFT,94101
LARCENY/THEFT,94123
LARCENY/THEFT,94141
OTHER OFFENSES,94115
NON-CRIMINAL,Not in San Francisco
SUSPICIOUS OCC,94102
