category,zip code
OTHER OFFENSES,94102
OTHER OFFENSES,94117
NON-CRIMINAL,Not in San Francisco
VANDALISM,94141
OTHER OFFENSES,94121
EMBEZZLEMENT,94123
LARCENY/THEFT,94109
FRAUD,94123
MISSING PERSON,94108
ASSAULT,94124
LARCENY/THEFT,94141
LARCENY/THEFT,94108
DRUG/NARCOTIC,94102
LARCENY/THEFT,94107
VANDALISM,94118
ASSAULT,94123
OTHER OFFENSES,94110
NON-CRIMINAL,94143
NON-CRIMINAL,94141
NON-CRIMINAL,94110
NON-CRIMINAL,94105
OTHER OFFENSES,94121
DRUG/NARCOTIC,94108
LARCENY/THEFT,94109
LARCENY/THEFT,94109
DRUG/NARCOTIC,94101
NON-CRIMINAL,94107
ASSAULT,94114
SUSPICIOUS OCC,94141
NON-CRIMINAL,94132
EMBEZZLEMENT,94102
OTHER OFFENSES,94108
SUSPICIOUS OCC,94114
LARCENY/THEFT,94101
NON-CRIMINAL,94104
MISSING PERSON,94101
NON-CRIMINAL,94108
FRAUD,94121
DRUG/NARCOTIC,94108
OTHER OFFENSES,94108
VANDALISM,Not in San Francisco
OTHER OFFENSES,94118
LOITERING,94102
OTHER OFFENSES,94143
VEHICLE THEFT,94118
SUSPICIOUS OCC,94115
LARCENY/THEFT,94101
NON-CRIMINAL,Not in San Francisco
VEHICLE THEFT,94107
BURGLARY,94107
SUSPICIOUS OCC,94102
ASSAULT,94108
NON-CRIMINAL,94110
NON-CRIMINAL,94121
OTHER OFFENSES,94141
DRUG/NARCOTIC,94109
ROBBERY,94110
LARCENY/THEFT,94115
OTHER OFFENSES,Not in San Francisco
LARCENY/THEFT,94124
LARCENY/THEFT,94108
NON-CRIMINAL,Not in San Francisco
"SEX OFFENSES, FORCIBLE",94102
MISSING PERSON,94131
DRUNKENNESS,94122
BURGLARY,94101
OTHER OFFENSES,94112
NON-CRIMINAL,94124
ROBBERY,94158
NON-CRIMINAL,94130
ASSAULT,94101
EMBEZZLEMENT,94102
OTHER OFFENSES,94110
OTHER OFFENSES,94114
NON-CRIMINAL,94134
OTHER OFFENSES,94108
SECONDARY CODES,94114
NON-CRIMINAL,94122
OTHER OFFENSES,94108
SUSPICIOUS OCC,94108
SECONDARY CODES,94188
VEHICLE THEFT,94134
ASSAULT,94101
OTHER OFFENSES,94104
SUSPICIOUS OCC,94121
OTHER OFFENSES,94141
NON-CRIMINAL,94115
LARCENY/THEFT,94105
OTHER OFFENSES,94101
LARCENY/THEFT,94141
OTHER OFFENSES,94115
LARCENY/THEFT,94131
NON-CRIMINAL,94105
ASSAULT,94141
NON-CRIMINAL,94101
LARCENY/THEFT,94115
ASSAULT,94134
OTHER OFFENSES,94105
VANDALISM,94114
VANDALISM,94105
NON-CRIMINAL,94115
NON-CRIMINAL,94124
VANDALISM,94123
WARRANTS,94105
EMBEZZLEMENT,94101
VEHICLE THEFT,94118
STOLEN PROPERTY,94134
LARCENY/THEFT,94123
DRUG/NARCOTIC,94114
OTHER OFFENSES,94114
ASSAULT,94101
OTHER OFFENSES,94118
OTHER OFFENSES,94101
OTHER OFFENSES,94141
BURGLARY,94104
WEAPON LAWS,94104
NON-CRIMINAL,94133
NON-CRIMINAL,94105
OTHER OFFENSES,94101
MISSING PERSON,94101
LARCENY/THEFT,94123
ASSAULT,94133
VEHICLE THEFT,94109
NON-CRIMINAL,94102
OTHER OFFENSES,94143
SECONDARY CODES,94124
WARRANTS,94115
NON-CRIMINAL,94115
LARCENY/THEFT,94115
OTHER OFFENSES,94188
NON-CRIMINAL,94188
LARCENY/THEFT,94141
NON-CRIMINAL,94101
VANDALISM,94108
NON-CRIMINAL,94143
WARRANTS,94143
DRUG/NARCOTIC,94117
OTHER OFFENSES,94133
ASSAULT,94188
LARCENY/THEFT,94123
OTHER OFFENSES,94105
EMBEZZLEMENT,94109
OTHER OFFENSES,94132
SUSPICIOUS OCC,94124
OTHER OFFENSES,94108
LARCENY/THEFT,94133
SUSPICIOUS OCC,94115
WARRANTS,94134
NON-CRIMINAL,94129
MISSING PERSON,94108
NON-CRIMINAL,94133
DRUG/NARCOTIC,94109
ASSAULT,94112
LARCENY/THEFT,94104
MISSING PERSON,94101
BURGLARY,94188
VEHICLE THEFT,94133
NON-CRIMINAL,94131
ASSAULT,94101
LARCENY/THEFT,94115
OTHER OFFENSES,94101
MISSING PERSON,94112
NON-CRIMINAL,94115
WARRANTS,94108
LARCENY/THEFT,94118
SUSPICIOUS OCC,94141
NON-CRIMINAL,94101
NON-CRIMINAL,94101
SUSPICIOUS OCC,Not in San Francisco
LARCENY/THEFT,94102
NON-CRIMINAL,94130
NON-CRIMINAL,94101
ROBBERY,94104
ASSAULT,94101
OTHER OFFENSES,94141
MISSING PERSON,94101
OTHER OFFENSES,94112
NON-CRIMINAL,94117
ASSAULT,94101
ASSAULT,94104
ASSAULT,94108
ASSAULT,94108
OTHER OFFENSES,94115
SUSPICIOUS OCC,94158
SUSPICIOUS OCC,94110
NON-CRIMINAL,94101
NON-CRIMINAL,94107
WEAPON LAWS,94102
SUSPICIOUS OCC,94115
OTHER OFFENSES,94115
NON-CRIMINAL,94121
NON-CRIMINAL,94122
DRIVING UNDER THE INFLUENCE,94109
NON-CRIMINAL,94141
SECONDARY CODES,94141
SUSPICIOUS OCC,94129
NON-CRIMINAL,94108
OTHER OFFENSES,94102
SECONDARY CODES,94123
NON-CRIMINAL,94115
RECOVERED VEHICLE,94104
OTHER OFFENSES,94108
NON-CRIMINAL,94124
LARCENY/THEFT,94109
OTHER OFFENSES,94108
NON-CRIMINAL,94116
NON-CRIMINAL,94112
MISSING PERSON,94101
LARCENY/THEFT,94132
VANDALISM,94104
VANDALISM,94115
