category,zip code
Other,94108
Traffic Violation Arrest,94109
Recovered Vehicle,94141
Non-Criminal,94108
Malicious Mischief,94124
Fraud,94102
Larceny Theft,94141
Miscellaneous Investigation,94102
Assault,94112
Malicious Mischief,94115
Warrant,94102
Larceny Theft,94104
Miscellaneous Investigation,94109
Non-Criminal,94101
Larceny Theft,Not in San Francisco
Other Miscellaneous,94110
Warrant,94124
Non-Criminal,94101
Larceny Theft,94131
Assault,94108
Burglary,94117
Larceny Theft,94158
Burglary,94132
Case Closure,94101
Fraud,Not in San Francisco
Motor Vehicle Theft,94114
Courtesy Report,94132
Malicious Mischief,94118
Offences Against The Family And Children,94114
Recovered Vehicle,94112
Assault,94102
Other Miscellaneous,94108
Non-Criminal,94141
Motor Vehicle Theft,94116
Larceny Theft,94110
Larceny Theft,94114
Fraud,94116
Other Miscellaneous,94108
Malicious Mischief,94141
Larceny Theft,94115
Larceny Theft,94102
Assault,94110
Larceny Theft,94133
Larceny Theft,94122
Malicious Mischief,94104
Arson,94143
Malicious Mischief,94117
Motor Vehicle Theft,94141
Assault,94101
Non-Criminal,94122
Non-Criminal,94127
Motor Vehicle Theft,94134
Malicious Mischief,94133
Warrant,94115
Lost Property,94104
Drug Offense,94102
Missing Person,94141
Offences Against The Family And Children,94102
Recovered Vehicle,94124
Assault,94107
Motor Vehicle Theft,94134
Larceny Theft,94123
Larceny Theft,94118
Assault,94118
Larceny Theft,94114
Assault,94127
Robbery,94118
Other Miscellaneous,94109
Other Miscellaneous,94102
Larceny Theft,94114
Offences Against The Family And Children,94112
Suspicious Occ,94101
Missing Person,94112
Drug Offense,94102
Drug Offense,94131
Larceny Theft,94127
Other Miscellaneous,94132
Assault,94123
Motor Vehicle Theft,Not in San Francisco
Malicious Mischief,94110
Non-Criminal,94109
Non-Criminal,94122
Offences Against The Family And Children,94109
Other,94108
Drug Offense,94102
Non-Criminal,94134
Lost Property,94122
Offences Against The Family And Children,94123
Larceny Theft,94108
Warrant,94102
Drug Offense,94102
Recovered Vehicle,94101
Courtesy Report,94115
Burglary,94123
Malicious Mischief,94104
Non-Criminal,94102
Assault,94102
Recovered Vehicle,94124
Assault,94109
Miscellaneous Investigation,94134
Suspicious Occ,94110
Larceny Theft,94102
Burglary,94124
Larceny Theft,94123
Malicious Mischief,94102
Robbery,94102
Larceny Theft,94101
Burglary,94104
Robbery,94108
Burglary,94107
Burglary,94117
Warrant,94107
Drug Violation,94141
Larceny Theft,94133
Larceny Theft,94115
Fraud,94102
Burglary,94117
Larceny Theft,94127
Lost Property,94109
Malicious Mischief,94131
Other Miscellaneous,94102
Lost Property,94115
Larceny Theft,94115
Warrant,94124
Larceny Theft,94118
Non-Criminal,94143
Recovered Vehicle,94114
Assault,94123
Larceny Theft,94121
Larceny Theft,94141
Burglary,94133
Malicious Mischief,94110
Missing Person,94134
Larceny Theft,Not in San Francisco
Non-Criminal,94101
Case Closure,94101
Disorderly Conduct,94134
Larceny Theft,94102
Missing Person,94141
Larceny Theft,94133
Malicious Mischief,94123
Malicious Mischief,94110
Other Miscellaneous,94107
Assault,94115
Other Miscellaneous,94104
Suspicious Occ,94111
Larceny Theft,Not in San Francisco
Motor Vehicle Theft,94112
Non-Criminal,94112
Larceny Theft,94115
Larceny Theft,94115
Missing Person,94102
Burglary,94158
Malicious Mischief,94115
Stolen Property,94133
Non-Criminal,94102
Malicious Mischief,94102
Larceny Theft,94110
Offences Against The Family And Children,94115
Fraud,94158
Suspicious Occ,94132
Larceny Theft,94118
Other Miscellaneous,94109
Non-Criminal,Not in San Francisco
Larceny Theft,94102
Larceny Theft,94188
Larceny Theft,94115
Larceny Theft,Not in San Francisco
Offences Against The Family And Children,94102
Recovered Vehicle,94101
Larceny Theft,94104
Non-Criminal,94102
Malicious Mischief,94133
Larceny Theft,94123
Motor Vehicle Theft,94115
Miscellaneous Investigation,94116
Malicious Mischief,94101
Drug Offense,94102
Larceny Theft,94129
Suspicious Occ,94104
Larceny Theft,94107
Malicious Mischief,94104
Larceny Theft,94102
Larceny Theft,94109
Other Miscellaneous,94104
Motor Vehicle Theft,94141
Larceny Theft,94122
Drug Offense,94102
Motor Vehicle Theft,94158
Robbery,94114
Suspicious Occ,94102
Fraud,94115
Motor Vehicle Theft,94188
Other Miscellaneous,94102
Malicious Mischief,94110
Motor Vehicle Theft,94109
Larceny Theft,94117
Other Miscellaneous,94118
Fraud,94114
Other Miscellaneous,94102
Offences Against The Family And Children,94109
Burglary,94141
Larceny Theft,94123
Larceny Theft,94104
Larceny Theft,94104
Larceny Theft,94133
Drug Offense,94141
Non-Criminal,94102
Larceny Theft,94131
Traffic Violation Arrest,94114
Weapons Carrying Etc,94108
Motor Vehicle Theft,94129
Suspicious Occ,94116
Larceny Theft,94141
Missing Person,94109
Larceny Theft,94108
Larceny Theft,94109
Larceny Theft,94122
Assault,94141
Motor Vehicle Theft,Not in San Francisco
Other Miscellaneous,94133
Drug Offense,94109
Larceny Theft,94115
Offences Against The Family And Children,94107
Larceny Theft,94104
Other Miscellaneous,94118
Malicious Mischief,Not in San Francisco
Embezzlement,94105
Larceny Theft,94111
Larceny Theft,94118
Traffic Collision,94112
Drug Offense,94115
Larceny Theft,94110
Other Miscellaneous,94121
Recovered Vehicle,94110
Malicious Mischief,94112
Larceny Theft,94108
Burglary,94108
Burglary,94188
Larceny Theft,94115
Other Miscellaneous,94130
Assault,94118
Disorderly Conduct,94115
Malicious Mischief,94158
Robbery,94108
Malicious Mischief,94131
Larceny Theft,94143
Disorderly Conduct,94124
Malicious Mischief,94112
Warrant,94115
Non-Criminal,94124
Larceny Theft,94110
Larceny Theft,94158
Non-Criminal,94123
Fraud,94114
Forgery And Counterfeiting,94158
Malicious Mischief,94141
Larceny Theft,94141
Warrant,94102
Robbery,94134
Fraud,94141
Larceny Theft,94133
Larceny Theft,94108
Assault,94141
Assault,94109
Lost Property,94102
Larceny Theft,94115
Motor Vehicle Theft,94102
Assault,94112
Malicious Mischief,94121
Burglary,94102
Fraud,94115
Larceny Theft,94104
Larceny Theft,94115
Drug Offense,94112
Weapons Carrying Etc,94111
Miscellaneous Investigation,94101
Fraud,94132
Larceny Theft,94105
Warrant,94116
Burglary,94109
Warrant,94101
Larceny Theft,94131
Missing Person,94141
Burglary,94114
Motor Vehicle Theft,94141
Disorderly Conduct,94102
Motor Vehicle Theft,94107
Burglary,94112
Larceny Theft,94121
Assault,94102
Warrant,94109
Assault,94117
Warrant,94102
Disorderly Conduct,94108
Assault,94130
Larceny Theft,94111
Non-Criminal,94102
Traffic Collision,94131
Robbery,94102
Larceny Theft,94112
Motor Vehicle Theft,94134
Burglary,94114
Assault,94115
Lost Property,94133
Non-Criminal,94118
Malicious Mischief,94115
Larceny Theft,Not in San Francisco
Non-Criminal,94108
Larceny Theft,94104
Malicious Mischief,94112
Burglary,94123
Motor Vehicle Theft,94115
Lost Property,94127
Recovered Vehicle,94133
Miscellaneous Investigation,94141
Larceny Theft,94108
Drug Offense,94102
Lost Property,94108
Burglary,94115
Offences Against The Family And Children,94129
Assault,94102
Suspicious Occ,94104
Burglary,94108
Motor Vehicle Theft,94188
Miscellaneous Investigation,94102
Courtesy Report,94108
Fire Report,94110
Larceny Theft,94105
Assault,94105
Other Miscellaneous,94124
Larceny Theft,94141
Larceny Theft,94141
Lost Property,94109
Miscellaneous Investigation,94108
Robbery,94108
Missing Person,94117
Larceny Theft,94112
Burglary,94141
Non-Criminal,94114
Other Miscellaneous,94127
Malicious Mischief,94133
Other Miscellaneous,94133
Larceny Theft,94131
Motor Vehicle Theft,94124
Larceny Theft,94105
Malicious Mischief,94102
Burglary,94110
Missing Person,94108
Burglary,94129
Larceny Theft,94115
Non-Criminal,94118
Suspicious Occ,94102
Larceny Theft,94133
Larceny Theft,94132
Robbery,94101
Recovered Vehicle,94109
Non-Criminal,94124
Non-Criminal,94107
Burglary,94118
Larceny Theft,94132
Larceny Theft,94133
Larceny Theft,94102
Lost Property,94134
Offences Against The Family And Children,94141
Larceny Theft,94122
Larceny Theft,94115
Assault,94158
Vandalism,94117
Larceny Theft,94115
Larceny Theft,94133
Larceny Theft,94118
Missing Person,94115
Burglary,94115
Motor Vehicle Theft,94114
Larceny Theft,94131
Other Miscellaneous,94105
Stolen Property,94133
Malicious Mischief,94109
Non-Criminal,94158
Larceny Theft,94101
Assault,94188
Fire Report,94124
Recovered Vehicle,94124
Recovered Vehicle,94132
Assault,94133
Robbery,94112
Traffic Violation Arrest,94110
Fraud,94143
Motor Vehicle Theft,94188
Traffic Collision,94133
Larceny Theft,94124
Lost Property,94114
Miscellaneous Investigation,94107
Larceny Theft,94143
Burglary,94133
Larceny Theft,94108
Other Miscellaneous,94107
Malicious Mischief,94123
Larceny Theft,94115
Assault,94121
Other Miscellaneous,94102
Assault,94141
Larceny Theft,94133
Other Miscellaneous,94102
Malicious Mischief,94101
