category,zip code
SECONDARY CODES,94134
LARCENY/THEFT,94133
LARCENY/THEFT,94118
LARCENY/THEFT,94123
ASSAULT,94141
OTHER OFFENSES,94143
BURGLARY,94122
OTHER OFFENSES,94143
LARCENY/THEFT,94115
MISSING PERSON,94112
OTHER OFFENSES,94116
ASSAULT,94121
VANDALISM,94110
OTHER OFFENSES,94141
VANDALISM,94123
OTHER OFFENSES,94109
VANDALISM,94118
LARCENY/THEFT,94118
WARRANTS,94102
SUSPICIOUS OCC,94111
MISSING PERSON,94110
NON-CRIMINAL,94133
TRESPASS,94121
OTHER OFFENSES,Not in San Francisco
VANDALISM,94108
VANDALISM,94124
NON-CRIMINAL,94188
ASSAULT,94121
NON-CRIMINAL,94121
ROBBERY,94108
LARCENY/THEFT,94101
LARCENY/THEFT,94105
ASSAULT,94141
LARCENY/THEFT,94108
LARCENY/THEFT,94105
NON-CRIMINAL,94102
OTHER OFFENSES,94188
VANDALISM,94141
MISSING PERSON,94118
NON-CRIMINAL,Not in San Francisco
WARRANTS,94141
STOLEN PROPERTY,94132
VEHICLE THEFT,94112
OTHER OFFENSES,94129
LARCENY/THEFT,94143
OTHER OFFENSES,94102
DRUNKENNESS,94108
LARCENY/THEFT,94108
LARCENY/THEFT,94122
LARCENY/THEFT,94101
BURGLARY,94143
TRESPASS,94122
DRIVING UNDER THE INFLUENCE,94141
BURGLARY,94108
NON-CRIMINAL,94108
ASSAULT,94101
OTHER OFFENSES,94141
DRUG/NARCOTIC,94101
ASSAULT,94108
VANDALISM,94104
LARCENY/THEFT,94133
STOLEN PROPERTY,94102
OTHER OFFENSES,94115
ASSAULT,94101
"SEX OFFENSES, FORCIBLE",94104
MISSING PERSON,94112
LARCENY/THEFT,94108
LARCENY/THEFT,94124
LARCENY/THEFT,94143
KIDNAPPING,94111
MISSING PERSON,94101
VANDALISM,94107
NON-CRIMINAL,94118
WEAPON LAWS,94107
DRUG/NARCOTIC,94101
WARRANTS,94141
OTHER OFFENSES,94124
ASSAULT,94118
BURGLARY,94188
LARCENY/THEFT,94118
OTHER OFFENSES,94129
NON-CRIMINAL,94111
NON-CRIMINAL,94133
ARSON,94141
FRAUD,94133
VANDALISM,94114
OTHER OFFENSES,94102
NON-CRIMINAL,94108
ASSAULT,94115
VANDALISM,94104
NON-CRIMINAL,94102
FRAUD,94133
NON-CRIMINAL,94101
OTHER OFFENSES,94143
WARRANTS,94102
DRUG/NARCOTIC,94114
LARCENY/THEFT,94102
SECONDARY CODES,94131
SUSPICIOUS OCC,94124
STOLEN PROPERTY,94102
FRAUD,94108
OTHER OFFENSES,94104
LARCENY/THEFT,94108
STOLEN PROPERTY,94108
OTHER OFFENSES,94122
KIDNAPPING,94117
OTHER OFFENSES,94104
NON-CRIMINAL,94101
ASSAULT,94118
ASSAULT,94118
OTHER OFFENSES,94143
NON-CRIMINAL,94110
LARCENY/THEFT,94124
LARCENY/THEFT,94104
LARCENY/THEFT,Not in San Francisco
SECONDARY CODES,94131
BURGLARY,94108
ASSAULT,94110
VANDALISM,94104
DRUG/NARCOTIC,94114
NON-CRIMINAL,94118
DRUNKENNESS,94108
LARCENY/THEFT,94124
LARCENY/THEFT,94132
ASSAULT,Not in San Francisco
LARCENY/THEFT,94105
MISSING PERSON,94112
LARCENY/THEFT,94109
NON-CRIMINAL,94121
DRUG/NARCOTIC,94102
LARCENY/THEFT,94122
LARCENY/THEFT,94104
NON-CRIMINAL,94108
ROBBERY,94111
NON-CRIMINAL,94102
OTHER OFFENSES,94124
NON-CRIMINAL,94133
NON-CRIMINAL,94109
ROBBERY,94141
LARCENY/THEFT,94110
MISSING PERSON,94118
ASSAULT,94104
WARRANTS,94108
ASSAULT,94188
"SEX OFFENSES, FORCIBLE",94104
MISSING PERSON,94118
LARCENY/THEFT,94108
EMBEZZLEMENT,94104
LARCENY/THEFT,94115
BURGLARY,94133
NON-CRIMINAL,94101
ASSAULT,94141
KIDNAPPING,94117
ASSAULT,94133
OTHER OFFENSES,94110
LARCENY/THEFT,94102
SUSPICIOUS OCC,94188
DRIVING UNDER THE INFLUENCE,94102
DRUG/NARCOTIC,94114
OTHER OFFENSES,94188
BURGLARY,94108
LARCENY/THEFT,94143
"SEX OFFENSES, FORCIBLE",94123
SUSPICIOUS OCC,94115
MISSING PERSON,94124
WEAPON LAWS,94132
NON-CRIMINAL,94134
LARCENY/THEFT,94108
VANDALISM,94101
ASSAULT,94110
OTHER OFFENSES,94117
OTHER OFFENSES,94132
BURGLARY,94108
NON-CRIMINAL,94109
WARRANTS,94114
DRUG/NARCOTIC,94114
LARCENY/THEFT,94104
VEHICLE THEFT,94133
SECONDARY CODES,94131
SECONDARY CODES,94134
LARCENY/THEFT,94110
LARCENY/THEFT,94104
VANDALISM,94115
VANDALISM,94115
ASSAULT,94115
LARCENY/THEFT,94123
OTHER OFFENSES,94108
VANDALISM,94118
NON-CRIMINAL,94108
VEHICLE THEFT,94102
WEAPON LAWS,94132
NON-CRIMINAL,94118
NON-CRIMINAL,Not in San Francisco
LARCENY/THEFT,94108
OTHER OFFENSES,94143
OTHER OFFENSES,94112
ASSAULT,94141
WEAPON LAWS,94141
FRAUD,94108
OTHER OFFENSES,94102
OTHER OFFENSES,94143
NON-CRIMINAL,Not in San Francisco
LARCENY/THEFT,94115
NON-CRIMINAL,94109
DRUG/NARCOTIC,94134
STOLEN PROPERTY,94108
NON-CRIMINAL,94121
LARCENY/THEFT,94108
ASSAULT,94101
OTHER OFFENSES,94143
VANDALISM,94124
ASSAULT,94101
OTHER OFFENSES,94108
LARCENY/THEFT,94118
OTHER OFFENSES,94143
SUSPICIOUS OCC,94115
ASSAULT,94115
NON-CRIMINAL,94101
ASSAULT,94143
ASSAULT,94115
NON-CRIMINAL,94108
OTHER OFFENSES,94141
LARCENY/THEFT,94108
BURGLARY,94109
VANDALISM,94104
ASSAULT,94101
LARCENY/THEFT,94104
LARCENY/THEFT,94108
MISSING PERSON,94123
DRUNKENNESS,94141
ASSAULT,94143
LARCENY/THEFT,94107
LARCENY/THEFT,94118
BURGLARY,94102
OTHER OFFENSES,94104
ARSON,94115
OTHER OFFENSES,94102
NON-CRIMINAL,94108
BURGLARY,Not in San Francisco
LARCENY/THEFT,94118
OTHER OFFENSES,94141
OTHER OFFENSES,94101
VANDALISM,94123
BURGLARY,94108
LARCENY/THEFT,94123
ASSAULT,94141
KIDNAPPING,94117
SUSPICIOUS OCC,94116
LARCENY/THEFT,94108
OTHER OFFENSES,94108
LARCENY/THEFT,94108
ASSAULT,94102
NON-CRIMINAL,94110
ARSON,94115
ASSAULT,94101
OTHER OFFENSES,94109
ASSAULT,94134
ASSAULT,94133
LARCENY/THEFT,94115
NON-CRIMINAL,94108
ASSAULT,Not in San Francisco
ASSAULT,94108
LARCENY/THEFT,94108
OTHER OFFENSES,94109
"SEX OFFENSES, FORCIBLE",94117
OTHER OFFENSES,94132
STOLEN PROPERTY,94102
OTHER OFFENSES,94102
OTHER OFFENSES,94112
TRESPASS,94122
ASSAULT,94118
NON-CRIMINAL,94124
MISSING PERSON,94123
VANDALISM,94115
SUSPICIOUS OCC,94102
LARCENY/THEFT,94110
LARCENY/THEFT,94108
LARCENY/THEFT,94115
FRAUD,94111
VANDALISM,94124
LARCENY/THEFT,94101
LARCENY/THEFT,94108
NON-CRIMINAL,94102
FRAUD,94114
OTHER OFFENSES,94115
VANDALISM,94121
WARRANTS,94141
OTHER OFFENSES,94109
VANDALISM,94104
OTHER OFFENSES,94112
ASSAULT,94108
LARCENY/THEFT,94133
BURGLARY,94122
LARCENY/THEFT,94111
BURGLARY,94104
OTHER OFFENSES,94101
BURGLARY,94108
LARCENY/THEFT,94104
FRAUD,94133
LARCENY/THEFT,94108
DRUG/NARCOTIC,94114
LARCENY/THEFT,94109
BURGLARY,94116
WARRANTS,94102
OTHER OFFENSES,94108
WARRANTS,94102
ASSAULT,94112
NON-CRIMINAL,94107
OTHER OFFENSES,94104
KIDNAPPING,94117
OTHER OFFENSES,94110
MISSING PERSON,94110
LARCENY/THEFT,94108
VEHICLE THEFT,94107
OTHER OFFENSES,94104
SUSPICIOUS OCC,94115
DRUNKENNESS,94111
ASSAULT,94111
NON-CRIMINAL,Not in San Francisco
LARCENY/THEFT,94133
LARCENY/THEFT,94105
ASSAULT,94102
ROBBERY,94134
SUSPICIOUS OCC,94109
LARCENY/THEFT,94104
LARCENY/THEFT,94123
NON-CRIMINAL,94141
ASSAULT,94108
OTHER OFFENSES,94115
LARCENY/THEFT,94108
VANDALISM,94101
DRUG/NARCOTIC,94102
ASSAULT,94141
LARCENY/THEFT,94104
OTHER OFFENSES,94132
LARCENY/THEFT,94101
ASSAULT,94141
LARCENY/THEFT,94108
NON-CRIMINAL,94108
NON-CRIMINAL,94121
LARCENY/THEFT,94123
OTHER OFFENSES,94188
DRUG/NARCOTIC,94101
DRUG/NARCOTIC,94102
OTHER OFFENSES,94121
LARCENY/THEFT,94101
VANDALISM,94118
LARCENY/THEFT,94143
OTHER OFFENSES,94107
ASSAULT,94118
NON-CRIMINAL,94188
ASSAULT,94109
LARCENY/THEFT,94134
NON-CRIMINAL,94134
OTHER OFFENSES,94124
DRUNKENNESS,94104
EMBEZZLEMENT,94133
OTHER OFFENSES,94102
NON-CRIMINAL,94104
VANDALISM,94141
NON-CRIMINAL,94118
VANDALISM,Not in San Francisco
WARRANTS,94102
ASSAULT,94101
BURGLARY,94116
OTHER OFFENSES,94122
SECONDARY CODES,94131
BURGLARY,94104
ASSAULT,94143
SUSPICIOUS OCC,94102
BURGLARY,94102
NON-CRIMINAL,94109
LARCENY/THEFT,94108
TRESPASS,94122
MISSING PERSON,94101
NON-CRIMINAL,94121
FRAUD,94111
VANDALISM,94118
OTHER OFFENSES,94124
NON-CRIMINAL,94104
EMBEZZLEMENT,94123
NON-CRIMINAL,94122
ASSAULT,94109
VANDALISM,94101
BURGLARY,94188
STOLEN PROPERTY,94129
NON-CRIMINAL,94117
