category,zip code
DRUG/NARCOTIC,94108
OTHER OFFENSES,Not in San Francisco
OTHER OFFENSES,94188
LARCENY/THEFT,94115
ASSAULT,94188
SECONDARY CODES,94112
ASSAULT,94124
LARCENY/THEFT,94104
OTHER OFFENSES,94112
NON-CRIMINAL,94124
LARCENY/THEFT,94114
MISSING PERSON,94108
FRAUD,94101
NON-CRIMINAL,94101
OTHER OFFENSES,94124
NON-CRIMINAL,94117
"SEX OFFENSES, FORCIBLE",94124
MISSING PERSON,94118
OTHER OFFENSES,94102
OTHER OFFENSES,94101
OTHER OFFENSES,94104
BURGLARY,94109
DRUG/NARCOTIC,94108
VANDALISM,94117
NON-CRIMINAL,94108
VANDALISM,Not in San Francisco
DISORDERLY CONDUCT,94133
NON-CRIMINAL,94109
LARCENY/THEFT,94101
NON-CRIMINAL,94104
LARCENY/THEFT,94129
LARCENY/THEFT,94132
MISSING PERSON,94118
DRIVING UNDER THE INFLUENCE,94118
NON-CRIMINAL,94133
OTHER OFFENSES,94124
OTHER OFFENSES,94133
EXTORTION,94132
EXTORTION,94121
OTHER OFFENSES,94116
ASSAULT,94112
OTHER OFFENSES,94123
NON-CRIMINAL,94133
NON-CRIMINAL,94118
LARCENY/THEFT,94132
OTHER OFFENSES,94133
VANDALISM,94115
VANDALISM,94101
DRUG/NARCOTIC,94108
OTHER OFFENSES,94108
LARCENY/THEFT,94133
ASSAULT,94101
NON-CRIMINAL,94129
ASSAULT,94141
WARRANTS,94121
SUSPICIOUS OCC,94133
NON-CRIMINAL,94108
VANDALISM,94110
ASSAULT,94132
SUSPICIOUS OCC,94133
ASSAULT,94101
BURGLARY,94104
OTHER OFFENSES,94129
MISSING PERSON,94118
NON-CRIMINAL,94134
DRIVING UNDER THE INFLUENCE,94116
MISSING PERSON,94101
OTHER OFFENSES,94133
LARCENY/THEFT,94141
NON-CRIMINAL,94112
NON-CRIMINAL,94131
LARCENY/THEFT,94108
OTHER OFFENSES,94115
OTHER OFFENSES,94115
ASSAULT,94108
OTHER OFFENSES,94112
LARCENY/THEFT,94118
ASSAULT,94124
FRAUD,94104
LARCENY/THEFT,94112
OTHER OFFENSES,94133
LARCENY/THEFT,94112
OTHER OFFENSES,94108
LARCENY/THEFT,94105
SUICIDE,94158
ASSAULT,94101
ASSAULT,94101
FRAUD,94122
NON-CRIMINAL,94141
OTHER OFFENSES,94134
OTHER OFFENSES,94112
OTHER OFFENSES,94188
SUICIDE,94102
SUSPICIOUS OCC,94101
LARCENY/THEFT,94143
ASSAULT,94101
ASSAULT,94143
VANDALISM,94108
MISSING PERSON,94114
VEHICLE THEFT,Not in San Francisco
OTHER OFFENSES,94121
NON-CRIMINAL,94134
ROBBERY,94188
OTHER OFFENSES,94104
BURGLARY,94158
NON-CRIMINAL,94114
LARCENY/THEFT,94123
NON-CRIMINAL,94109
VANDALISM,94110
SUSPICIOUS OCC,94112
LARCENY/THEFT,94102
OTHER OFFENSES,94101
SUSPICIOUS OCC,94117
NON-CRIMINAL,94114
ASSAULT,94101
WARRANTS,94141
NON-CRIMINAL,94101
OTHER OFFENSES,94123
ASSAULT,94101
WARRANTS,94108
LARCENY/THEFT,94101
OTHER OFFENSES,94124
ASSAULT,94112
NON-CRIMINAL,94143
NON-CRIMINAL,94121
FRAUD,94124
MISSING PERSON,94108
VANDALISM,94188
OTHER OFFENSES,94101
WARRANTS,94115
LARCENY/THEFT,94101
FRAUD,Not in San Francisco
OTHER OFFENSES,94133
OTHER OFFENSES,94123
NON-CRIMINAL,94122
SUSPICIOUS OCC,94129
OTHER OFFENSES,94124
NON-CRIMINAL,94102
"SEX OFFENSES, FORCIBLE",94108
ASSAULT,94108
SECONDARY CODES,94143
OTHER OFFENSES,94123
LARCENY/THEFT,94102
DRUG/NARCOTIC,94102
ASSAULT,94102
NON-CRIMINAL,94104
OTHER OFFENSES,94133
TRESPASS,94101
LARCENY/THEFT,94108
ROBBERY,94108
WEAPON LAWS,94102
OTHER OFFENSES,94104
SUSPICIOUS OCC,94108
OTHER OFFENSES,94114
OTHER OFFENSES,94101
ASSAULT,94124
MISSING PERSON,Not in San Francisco
NON-CRIMINAL,94102
NON-CRIMINAL,94114
VANDALISM,94101
EMBEZZLEMENT,94102
SUSPICIOUS OCC,94110
WARRANTS,94188
ASSAULT,94109
SUSPICIOUS OCC,94123
LARCENY/THEFT,94133
LARCENY/THEFT,94108
SUSPICIOUS OCC,94102
VANDALISM,94122
SUSPICIOUS OCC,94115
SUSPICIOUS OCC,94124
BURGLARY,94143
