category,zip code
EMBEZZLEMENT,94114
LARCENY/THEFT,94101
SECONDARY CODES,94133
VANDALISM,94133
LARCENY/THEFT,94115
EMBEZZLEMENT,94114
MISSING PERSON,94109
MISSING PERSON,94124
ASSAULT,94108
NON-CRIMINAL,94133
LARCENY/THEFT,94110
VEHICLE THEFT,94118
LARCENY/THEFT,94102
FRAUD,94131
NON-CRIMINAL,94118
SUSPICIOUS OCC,94122
BURGLARY,94123
ASSAULT,94101
OTHER OFFENSES,94124
VEHICLE THEFT,Not in San Francisco
SUSPICIOUS OCC,94123
SUSPICIOUS OCC,94122
LARCENY/THEFT,94123
LARCENY/THEFT,94104
EMBEZZLEMENT,94104
NON-CRIMINAL,94105
LARCENY/THEFT,94101
WARRANTS,94115
EMBEZZLEMENT,94188
BURGLARY,94158
MISSING PERSON,94102
LARCENY/THEFT,94101
SUSPICIOUS OCC,94108
VANDALISM,94101
LARCENY/THEFT,94121
OTHER OFFENSES,94115
LARCENY/THEFT,94123
BURGLARY,94108
SUSPICIOUS OCC,94109
SUSPICIOUS OCC,94101
SUSPICIOUS OCC,94141
VANDALISM,Not in San Francisco
LARCENY/THEFT,94102
ASSAULT,94114
NON-CRIMINAL,94133
OTHER OFFENSES,94110
VANDALISM,94114
LARCENY/THEFT,94104
LARCENY/THEFT,94108
OTHER OFFENSES,94143
NON-CRIMINAL,94131
DRUNKENNESS,94133
ASSAULT,94143
ASSAULT,94133
DRUNKENNESS,94133
DISORDERLY CONDUCT,94115
MISSING PERSON,94117
LARCENY/THEFT,94123
ROBBERY,Not in San Francisco
ROBBERY,94108
NON-CRIMINAL,94108
LARCENY/THEFT,Not in San Francisco
LARCENY/THEFT,94108
OTHER OFFENSES,94132
WARRANTS,94114
NON-CRIMINAL,94127
VANDALISM,94112
ASSAULT,94104
OTHER OFFENSES,94102
NON-CRIMINAL,94141
LARCENY/THEFT,94108
VANDALISM,94109
LARCENY/THEFT,94105
LARCENY/THEFT,94115
OTHER OFFENSES,94123
DRIVING UNDER THE INFLUENCE,94104
DRUG/NARCOTIC,94102
