category,zip code
Motor Vehicle Theft,94104
Assault,94105
Other Miscellaneous,94101
nan,94141
Larceny Theft,94141
Motor Vehicle Theft,94102
Malicious Mischief,94108
Miscellaneous Investigation,94109
Non-Criminal,94108
Burglary,94130
Recovered Vehicle,94101
Burglary,94133
Recovered Vehicle,94112
Larceny Theft,94124
Malicious Mischief,94122
Larceny Theft,94109
Motor Vehicle Theft,94102
Larceny Theft,94108
Motor Vehicle Theft,94102
Suspicious Occ,94108
Other Miscellaneous,94109
Other Miscellaneous,94108
Non-Criminal,94133
Lost Property,94107
Suspicious Occ,94101
Malicious Mischief,Not in San Francisco
Other Offenses,94115
Assault,94104
Other Miscellaneous,94109
Robbery,94111
Arson,94108
Malicious Mischief,94102
Stolen Property,94102
Burglary,94131
Malicious Mischief,Not in San Francisco
Larceny Theft,94131
Malicious Mischief,94118
Weapons Offense,94124
Assault,94141
Motor Vehicle Theft,94132
Burglary,94122
Miscellaneous Investigation,Not in San Francisco
Larceny Theft,94110
Larceny Theft,94134
Burglary,94102
Traffic Violation Arrest,94101
Larceny Theft,94104
Larceny Theft,94112
Larceny Theft,94114
Miscellaneous Investigation,94101
Non-Criminal,94115
Larceny Theft,94121
Burglary,94109
Larceny Theft,94115
Non-Criminal,94115
Recovered Vehicle,94127
Larceny Theft,Not in San Francisco
Suspicious Occ,Not in San Francisco
Suspicious Occ,94109
Other Miscellaneous,94108
Warrant,94102
Robbery,94114
Larceny Theft,94102
Missing Person,94112
Other Miscellaneous,94114
Fraud,94101
Other Offenses,Not in San Francisco
Larceny Theft,94115
Assault,94115
Larceny Theft,94104
Non-Criminal,94112
Larceny Theft,94110
Larceny Theft,Not in San Francisco
Larceny Theft,94110
Larceny Theft,94115
Larceny Theft,94121
Motor Vehicle Theft,94118
Non-Criminal,94115
Larceny Theft,94108
Traffic Violation Arrest,94109
Larceny Theft,94143
Larceny Theft,94143
Malicious Mischief,94112
Larceny Theft,94141
Non-Criminal,94141
Motor Vehicle Theft,94123
Missing Person,94115
Burglary,94102
Malicious Mischief,94123
Larceny Theft,94123
Other,94102
Other,94123
Burglary,94110
Robbery,94108
Non-Criminal,94102
Other Miscellaneous,Not in San Francisco
Larceny Theft,94121
Recovered Vehicle,94115
Non-Criminal,Not in San Francisco
Other Miscellaneous,94108
Non-Criminal,94117
Drug Offense,94102
Malicious Mischief,94102
Forgery And Counterfeiting,94108
Burglary,94115
Vandalism,94108
Larceny Theft,94107
Lost Property,94116
Larceny Theft,94104
Burglary,94115
Non-Criminal,94108
Drug Offense,94102
Larceny Theft,94141
Larceny Theft,94133
Embezzlement,Not in San Francisco
Weapons Carrying Etc,94141
Fraud,94114
Other,94102
Other Miscellaneous,94141
Assault,94117
Burglary,94114
Burglary,94108
Larceny Theft,Not in San Francisco
Warrant,94101
Other Miscellaneous,Not in San Francisco
Drug Offense,94102
Malicious Mischief,94110
Weapons Carrying Etc,94141
Larceny Theft,94109
Suspicious Occ,94117
Larceny Theft,94141
Lost Property,94115
Lost Property,94108
Non-Criminal,94102
Motor Vehicle Theft,94112
Larceny Theft,94104
Warrant,94104
Other Miscellaneous,94129
Other Miscellaneous,94108
Assault,94132
Lost Property,94134
Larceny Theft,94105
Larceny Theft,94102
Disorderly Conduct,94141
Other Miscellaneous,94112
Larceny Theft,Not in San Francisco
Assault,94101
Warrant,94112
Lost Property,94123
Larceny Theft,94117
Robbery,Not in San Francisco
Larceny Theft,94158
Larceny Theft,94117
Drug Offense,94133
Larceny Theft,94141
Fraud,Not in San Francisco
Non-Criminal,94122
Burglary,94114
Drug Offense,94108
Larceny Theft,94115
Lost Property,94117
Lost Property,94141
Larceny Theft,94188
Larceny Theft,94129
Larceny Theft,94123
Arson,94133
Malicious Mischief,94102
Lost Property,94141
Non-Criminal,94141
Larceny Theft,94115
Larceny Theft,Not in San Francisco
Larceny Theft,94132
Larceny Theft,94102
Robbery,94124
Other Miscellaneous,94124
Other Miscellaneous,94102
Recovered Vehicle,94124
Drug Offense,94158
Burglary,94102
Motor Vehicle Theft,94112
Missing Person,94141
Missing Person,94158
Larceny Theft,94101
Other Miscellaneous,94131
Arson,94133
Larceny Theft,94115
Larceny Theft,94115
Assault,94110
Fraud,94131
Suspicious Occ,94131
Offences Against The Family And Children,94104
Offences Against The Family And Children,94102
Robbery,94109
Arson,94101
Larceny Theft,94141
Assault,94109
Non-Criminal,94102
Larceny Theft,94108
Larceny Theft,94114
Assault,94104
Larceny Theft,94108
Disorderly Conduct,94102
Recovered Vehicle,94110
Larceny Theft,94102
Larceny Theft,94114
Larceny Theft,94118
Other Miscellaneous,94109
Larceny Theft,94102
Lost Property,94108
Recovered Vehicle,94109
Larceny Theft,94115
Other Miscellaneous,94108
Larceny Theft,94104
Burglary,94101
Larceny Theft,94102
Drug Offense,94102
nan,94124
Motor Vehicle Theft,94188
Larceny Theft,94101
Burglary,94110
Malicious Mischief,94115
Robbery,94104
Traffic Violation Arrest,94141
Motor Vehicle Theft,94109
Robbery,94104
Recovered Vehicle,94141
Larceny Theft,94107
Warrant,94188
Missing Person,94114
Assault,94102
Robbery,94107
Suspicious Occ,94102
Robbery,94127
Larceny Theft,94102
Other Miscellaneous,94112
Malicious Mischief,94115
Burglary,94115
Drug Offense,94141
Traffic Violation Arrest,94104
Burglary,94101
Fraud,94158
Malicious Mischief,94102
Motor Vehicle Theft,94109
Larceny Theft,94114
Disorderly Conduct,94108
Suspicious Occ,94114
Motor Vehicle Theft,94117
Other Miscellaneous,94123
Disorderly Conduct,Not in San Francisco
Stolen Property,94102
Larceny Theft,94110
Assault,94108
Larceny Theft,94141
Larceny Theft,94118
Lost Property,94134
Robbery,94112
Other Miscellaneous,94109
Assault,94110
Motor Vehicle Theft,94108
Larceny Theft,94110
Assault,94104
Motor Vehicle Theft,94109
Larceny Theft,94141
Other Miscellaneous,94112
Malicious Mischief,94134
Arson,94115
Assault,94108
Malicious Mischief,94104
